"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000110841",0.0155538734569302,0.0984783951308799,3,0,0.168379690903427,1,1
"ENSG00000242372",3.57328365830051e-06,0,2,2,0.168222845826563,1,1
"ENSG00000172239",8.521151082766e-08,1,5,0,-0.167530469741203,1,1
"ENSG00000145779",0.00794224744685288,0.080351099130035,5,0,-0.167213943218713,1,1
"ENSG00000163565",1.38691715405692e-43,1,13,0,-0.166809133610813,1,1
"ENSG00000149269",8.55795875344671e-05,1,11,0,-0.166781107357039,1,1
"ENSG00000175756",1.80440924887777e-14,4.41792975724515e-08,5,1,-0.165861102191302,1,1
"ENSG00000136425",0.00432212572169101,1,7,0,0.165535947832933,1,1
"ENSG00000106638",0.0167718918585755,1,4,0,0.16493182270057,1,1
"ENSG00000119004",0.0257314289019879,0.183792972583976,5,0,0.164881044210272,1,1
"ENSG00000128383",0.00221548369083989,0.517245040301,5,0,0.16481649926278,1,1
"ENSG00000196507",0.00361284296742492,0.570272439010764,3,0,-0.164800914537938,1,1
"ENSG00000121578",0.00104602627182102,0.291243272288222,6,0,0.164504336532529,1,1
"ENSG00000167523",0.0167718918585755,1,9,0,-0.164413518474503,1,1
"ENSG00000233927",0.0205392331922951,0,2,2,-0.164291113618747,1,1
"ENSG00000112576",0.00893840011472001,1,9,0,-0.163870774188976,1,1
"ENSG00000150527",5.02692944689422e-06,1,10,0,0.163756981212035,1,1
"ENSG00000168214",0.00246243845485752,0.600898727313554,9,0,-0.163193054604551,1,1
"ENSG00000169299",0.000404545979835856,1,3,0,0.162749688969816,1,1
"ENSG00000138036",0.0021008671840139,1,4,0,0.16269655988204,1,1
"ENSG00000164305",0.0228495380793095,1,6,0,-0.162328095726716,1,1
"ENSG00000097021",0.0346711815150788,1,5,0,-0.162152341348414,1,1
"ENSG00000146701",6.71971551326896e-06,0,2,2,0.161738290081864,1,1
"ENSG00000204954",0.0054002847738633,1,4,0,0.16155846204663,1,1
"ENSG00000179085",0.00677141085326642,0.00152943554368206,3,1,-0.16141551848267,1,1
"ENSG00000078140",4.85983786297607e-10,1,5,0,0.160377356587248,1,1
"ENSG00000149547",1.53630645734394e-06,1,7,0,-0.160059401771989,1,1
"ENSG00000121073",0.0161146371571915,1,5,0,-0.160000000023679,1,1
"ENSG00000104886",0.000696300401490274,1,6,0,-0.159981864287071,1,1
"ENSG00000168394",4.67559464762422e-05,0,2,2,-0.15970648553226,1,1
"ENSG00000104231",1.49391233629048e-06,1,7,0,0.159161921321689,1,1
"ENSG00000278175",0.00189371981187952,1,11,0,0.1590908850109,1,1
"ENSG00000163734",0.00878433791609088,0.131906659547239,3,0,0.158971941860461,1,1
"ENSG00000090006",1.2383971219107e-24,1,11,0,0.158607068931208,1,1
"ENSG00000213719",1.6883662870448e-195,1,5,0,-0.15853813775038,1,1
"ENSG00000170445",0.00398722551799781,1,5,0,0.158406017337316,1,1
"ENSG00000185624",3.20563596655261e-12,1,4,0,-0.157983158346231,1,1
"ENSG00000166183",0.000256126886721151,1,13,0,0.15789473482348,1,0.833333333333333
"ENSG00000173992",2.93858110832135e-05,0,2,2,0.157834996500895,1,1
"ENSG00000122359",3.73401699209624e-09,1,3,0,0.157737376212331,1,1
"ENSG00000131495",2.06536677381067e-31,1,3,0,0.15677281906039,1,1
"ENSG00000160201",0.00927907550660058,0,2,2,-0.156686233586377,1,1
"ENSG00000142273",0.0002692170548628,1,3,0,-0.156647090408071,1,1
"ENSG00000100106",0.0161107846214554,0.199779043816569,4,0,-0.156620860298343,1,1
"ENSG00000196684",0.00983973940060974,1,7,0,-0.156565413381416,1,1
"ENSG00000042317",0.0435065520286221,1,5,0,0.156273171436184,1,1
"ENSG00000184162",0.00155771437527732,1,7,0,-0.156246471564209,1,1
"ENSG00000068120",0.001274762044958,1,4,0,0.155509595206279,1,1
"ENSG00000167565",9.2338331630159e-05,1,3,0,-0.154982851899176,1,1
