"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000103342",2.55514183545414e-16,1,4,0,0.559814815408935,1,1
"ENSG00000164291",0.000752583499989334,1,5,0,0.558894102975008,1,0.666666666666667
"ENSG00000120925",0.000114881806713686,0.000500431931244556,4,2,0.553797768764238,1,1
"ENSG00000168259",2.50830904396238e-12,7.9888077208873e-14,3,2,-0.552594516225259,1,1
"ENSG00000138772",1.61332898505198e-42,1,3,0,0.55180723584293,1,1
"ENSG00000103811",0.0407810511424712,0.0839003566859514,3,0,0.551586940585193,0.833333333333333,0.5
"ENSG00000122644",1.50496646070469e-26,1.34396264097927e-27,5,3,-0.551290923423833,1,1
"ENSG00000070756",5.31304093107993e-101,2.6697912014455e-19,4,1,-0.550256982207058,1,1
"ENSG00000150779",1.55627160042805e-18,3.53977993346577e-21,4,4,-0.549089190608678,1,1
"ENSG00000176454",4.93176842335427e-09,9.74517735583184e-05,4,1,0.548989153394229,1,1
"ENSG00000129071",5.0318014028166e-19,0.000946036801143132,6,1,0.548385158947931,1,0.833333333333333
"ENSG00000101310",1.33087369796112e-09,1,8,0,-0.546421889903183,1,0.666666666666667
"ENSG00000124207",0.00384192501918065,0.0177332296528804,3,1,-0.54545454323828,1,1
"ENSG00000182004",0.00264846171177482,0.328439521424437,3,0,0.545298863598381,1,1
"ENSG00000111725",7.54134533498452e-05,0.850624193710393,5,0,-0.544060942827512,1,1
"ENSG00000148925",1.15538897984016e-08,1,3,0,0.544036319365848,1,1
"ENSG00000122970",0.00359967181196949,0.0102423913190124,3,1,-0.543271341911098,1,1
"ENSG00000134371",4.89014735715477e-05,1,3,0,-0.54321501570851,1,1
"ENSG00000128626",4.06276221949601e-07,0.00565270246759345,4,1,0.542374026789318,1,1
"ENSG00000104205",1.89973944460025e-08,1,5,0,-0.539423216063488,1,0.5
"ENSG00000196510",3.03615129438079e-16,1,5,0,0.538792151011603,1,1
"ENSG00000159166",1.66650693487248e-48,1,4,0,-0.538564990367734,1,1
"ENSG00000159445",0.00982503984629825,0.0199034561360397,5,1,-0.537806121441934,1,1
"ENSG00000165637",1.31043375755182e-106,7.74812483683564e-69,3,1,-0.537487612606097,1,1
"ENSG00000144579",3.63303887928207e-07,1,3,0,0.537481010161623,1,1
"ENSG00000127947",0.000678842891237929,0.193482562692616,4,0,-0.536514070810569,1,1
"ENSG00000124795",6.94375577549179e-10,1.0564356704836e-06,5,1,-0.535858167590436,1,1
"ENSG00000074964",0.00318075349175255,1,3,0,-0.535195387422237,1,1
"ENSG00000109814",0.0130466923845137,0.150558752307879,3,0,0.535090851802516,1,0.833333333333333
"ENSG00000171428",0.000487497520175893,0.00111321054250376,5,1,0.534615198045701,1,0.833333333333333
"ENSG00000198736",2.19118000560691e-14,4.61222471561846e-11,3,1,-0.53429947961589,1,1
"ENSG00000036054",2.12121083735493e-14,1,8,0,0.533758933694598,1,1
"ENSG00000149582",0.0132441524532998,0.052709933438682,4,0,-0.533213450959377,1,0.833333333333333
"ENSG00000169733",0.00382953601737616,1,4,0,-0.532882773167381,1,1
"ENSG00000117569",0.00629707389267576,1,4,0,-0.53279877192791,1,0.666666666666667
"ENSG00000115806",2.00330814665796e-07,0.000420917324700039,4,1,-0.532712952160398,1,1
"ENSG00000263001",7.68206409498828e-06,0.0585506380069943,4,0,0.532614668751207,1,1
"ENSG00000049656",7.59034593701963e-05,0.912959853392265,5,0,-0.532100651968874,1,1
"ENSG00000164062",6.50683015590069e-10,1,4,0,0.531162470783444,1,1
"ENSG00000129636",9.75818154397454e-12,0.901103352076524,6,0,-0.530647490396217,1,1
"ENSG00000164338",6.27373690990842e-05,1,5,0,-0.52988831403017,1,0.833333333333333
"ENSG00000068137",2.14320685671016e-06,3.16206658939842e-05,10,1,-0.528305401927772,1,1
"ENSG00000104695",7.8376205510443e-36,0.0016548200393148,4,1,-0.526258048927286,1,1
"ENSG00000143164",0.0418309859147963,0,2,2,-0.525892608046193,0.833333333333333,0.833333333333333
"ENSG00000196275",0.036107417631718,0.0372761766310747,3,1,0.525701156878582,0.833333333333333,0.833333333333333
"ENSG00000235899",0.00352342734427091,0.147366275949759,4,0,-0.522994336100184,0.833333333333333,0.833333333333333
