"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_VIC01_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000262097",0.00192363129912252,1,3,0,-0.747606754612213,0.833333333333333,0.5
"ENSG00000196235",0.0203198858530509,1,3,0,0.746388017851858,0.833333333333333,0.5
"ENSG00000271133",7.40654203280742e-06,0.0622443342292508,4,0,0.744021446565505,1,0.833333333333333
"ENSG00000113387",6.70026748309743e-48,9.07261756916007e-32,4,1,-0.742342295595374,1,1
"ENSG00000033170",0.0070400340315372,1,3,0,0.741915681097914,0.833333333333333,0.5
"ENSG00000164062",2.34563006552237e-10,1,4,0,0.74179713376822,1,0.833333333333333
"ENSG00000158604",5.38662143674728e-05,0.00340211298240909,3,1,-0.740743728156389,1,1
"ENSG00000183255",1.48229371295736e-17,2.57247613752389e-16,4,2,0.740055182988718,1,1
"ENSG00000124444",0.00106009246911218,0.0002670241311919,4,1,0.737021538554482,0.833333333333333,0.666666666666667
"ENSG00000070831",8.77180967992452e-144,1,3,0,0.736533556368379,1,1
"ENSG00000141279",2.92859557332822e-12,0.557748538862636,4,0,-0.733527173862687,1,0.833333333333333
"ENSG00000113161",5.77205449169512e-09,3.36107618987609e-06,5,1,-0.730156657004817,1,0.666666666666667
"ENSG00000125107",1.13194723707992e-16,1,5,0,0.729741279974873,1,0.833333333333333
"ENSG00000145495",0.000592721350370336,0.0678286114924514,3,0,0.725267330244079,1,0.833333333333333
"ENSG00000143418",3.64292245611856e-05,0.21284794365786,4,0,-0.724658553865855,1,0.666666666666667
"ENSG00000130702",1.35841598431884e-13,1,5,0,-0.724140981805019,1,0.666666666666667
"ENSG00000196510",1.74281147877817e-09,1,4,0,-0.723443089150458,1,0.666666666666667
"ENSG00000069509",8.08220514759585e-09,0.214693833694204,4,0,0.720955057886992,1,1
"ENSG00000164855",9.04652119100618e-06,1,5,0,0.719931725729045,0.833333333333333,0.666666666666667
"ENSG00000214046",2.71316146795748e-43,1,7,0,-0.718975567407567,1,0.833333333333333
"ENSG00000132356",5.52463096453685e-05,0.0213379660079666,3,1,-0.718693750872475,0.833333333333333,0.666666666666667
