"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000108587"	"ENSG00000108587"	1.68154484621901e-07	0.0372199001860177	4	1	-0.475837322117322	1	1
"ENSG00000138668"	"ENSG00000138668"	0.000259588288540412	0.0393333577321709	5	1	0.281410218478106	1	1
"ENSG00000143870"	"ENSG00000143870"	6.69356632191671e-06	0.0394990421609036	3	1	0.245666841438181	1	1
"ENSG00000171206"	"ENSG00000171206"	4.06269030273394e-06	0.0402386778004886	3	1	-0.851770423506053	1	0.833333333333333
"ENSG00000153774"	"ENSG00000153774"	2.5618264038487e-16	0.0420408236406877	7	1	-0.279332109604872	1	1
"ENSG00000134308"	"ENSG00000134308"	0.0109975551404976	0.0450688067564976	3	1	0.213460551899453	1	1
"ENSG00000105856"	"ENSG00000105856"	6.8463424049456e-05	0.045084841546454	3	1	-0.427627532992553	1	1
"ENSG00000171720"	"ENSG00000171720"	2.14722764833615e-05	0.045136579380337	4	1	-0.787251893143489	1	0.833333333333333
"ENSG00000100083"	"ENSG00000100083"	0.0317213047559042	0.0452183286681756	4	1	-0.54734909776565	0.833333333333333	0.833333333333333
"ENSG00000157778"	"ENSG00000157778"	0.01393263608667	0.0464257357075393	5	1	0.582383864085911	1	1
"ENSG00000070190"	"ENSG00000070190"	0.00137289215385925	0.04749453284963	3	1	-0.703003516700051	0.833333333333333	0.666666666666667
"ENSG00000155438"	"ENSG00000155438"	0.0090964003270735	0.0481764906183188	4	1	-0.269173437993962	1	1
