"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000115457",9.85764053075908e-56,2.22251386872011e-52,5,2,-0.584530203850061,1,1
"ENSG00000165219",0.000279912892595301,1,5,0,-0.584048480056477,0.833333333333333,0.666666666666667
"ENSG00000203950",1.59399868478426e-08,8.8339684223022e-08,3,1,0.583868020993307,1,1
"ENSG00000157778",0.01393263608667,0.0464257357075393,5,1,0.582383864085911,1,1
"ENSG00000171155",3.34280217916434e-06,0.712759414644384,3,0,-0.581597935880053,1,1
"ENSG00000164062",0.00105149698581375,1,3,0,-0.581106181418805,0.833333333333333,0.666666666666667
"ENSG00000163527",0.00295194072525925,0.00302767053723704,3,1,0.579462170039735,1,1
"ENSG00000116212",0.0050149151406763,0.0006922058121738,5,1,-0.57824921599993,1,1
"ENSG00000101782",1.57718963173021e-05,0.0887301808293458,4,0,0.577017840964253,1,0.833333333333333
"ENSG00000110987",0.025727866843296,1,3,0,0.576653042434021,1,0.833333333333333
"ENSG00000128510",0.0101061526459473,0.103645445515134,3,0,0.574503346862519,0.833333333333333,0.833333333333333
"ENSG00000119431",0.000426301074056965,0.0978068014866886,3,0,0.574401164036695,1,1
"ENSG00000234465",0.00812755969519801,0.705054144723605,4,0,-0.574265477596216,0.833333333333333,0.666666666666667
"ENSG00000079805",3.88908847384897e-05,1,6,0,-0.570580316846472,1,0.833333333333333
"ENSG00000108784",0.0260098086651774,1,4,0,-0.568007998456348,1,0.833333333333333
"ENSG00000203666",0.000702789187422461,0.00265516910526035,6,1,0.567537989186185,1,0.833333333333333
"ENSG00000263001",4.4269993415845e-19,1,6,0,-0.565679052148261,1,0.833333333333333
"ENSG00000138119",2.62704597766888e-13,1,5,0,-0.56245363525632,1,1
"ENSG00000103342",3.32885666972108e-08,1,4,0,0.561393077665533,1,1
"ENSG00000139726",0.0161672694954259,0,2,2,-0.560021144048036,0.833333333333333,0.666666666666667
"ENSG00000138772",2.63536241061292e-21,1,4,0,0.551753875095615,1,1
"ENSG00000258289",0.00108474742035194,0.000111344525045449,4,2,-0.549298788187459,1,1
"ENSG00000119801",1.53394263339806e-10,0.00119843646036761,6,1,0.548480127565486,1,0.833333333333333
"ENSG00000100083",0.0317213047559042,0.0452183286681756,4,1,-0.54734909776565,0.833333333333333,0.833333333333333
"ENSG00000071994",0.019901633820173,0.0136290230871289,7,1,-0.546335818585477,1,1
"ENSG00000160211",0.00343019467164288,0.0133697214301694,3,1,0.545963424530228,1,0.833333333333333
"ENSG00000117335",5.02761591551994e-09,0.0720649656239082,6,0,-0.545384669270329,1,1
"ENSG00000006695",0.00958738773482201,1,4,0,0.543836697037497,1,1
"ENSG00000149658",0.043211014163568,1,3,0,-0.543491014572245,1,0.666666666666667
"ENSG00000100722",0.000792888248137979,0.85579119373966,5,0,0.543411954032882,1,0.833333333333333
"ENSG00000143153",1.15676743844349e-15,1,4,0,0.541707152558848,1,1
"ENSG00000165175",4.16888040763034e-09,1,4,0,-0.540980443537227,1,1
