"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_adult_Infected-Suprabasal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000122482",2.06117773316461e-07,1,7,0,-0.586893881879072,1,0.666666666666667
"ENSG00000153187",4.80846958356207e-05,0.00143064548695731,4,1,0.586665270588049,1,1
"ENSG00000106617",1.46152447968047e-06,0.000207223967365278,4,1,-0.586631218999006,1,1
"ENSG00000181392",0.0322065604570792,0.00906699485587145,3,2,0.583858316324156,1,0.833333333333333
"ENSG00000142687",9.03535156256151e-06,0.000338872783557936,4,1,0.582376015899423,1,1
"ENSG00000138442",4.37059455348081e-05,1,4,0,-0.582203915186109,1,1
"ENSG00000139726",1.22365312289672e-07,1,5,0,-0.580643500915095,1,1
"ENSG00000157778",2.84646355192029e-21,1.76101163314602e-09,6,1,0.580281698069732,1,1
"ENSG00000280071",1.54274073898901e-12,1,4,0,0.579285041321481,1,1
"ENSG00000138162",5.60133656799769e-12,1,5,0,-0.578944890681166,1,0.833333333333333
"ENSG00000177459",2.20089654995815e-10,0.00119262953405579,3,2,-0.578058945260058,1,1
"ENSG00000266412",2.58947543805828e-16,6.8097974280583e-05,8,2,0.577777521427552,1,1
"ENSG00000126522",2.07061625882901e-09,1,7,0,-0.577470564868252,1,0.666666666666667
"ENSG00000278259",0.000462580852394713,1,4,0,-0.576866916569399,1,1
"ENSG00000162073",0.00126851829640895,0.0246574553419045,3,1,0.57663075627615,1,0.833333333333333
"ENSG00000111328",1.90021689910467e-20,1,5,0,-0.576499638363537,1,1
"ENSG00000050820",3.03132319410647e-05,1,4,0,-0.576185720051565,1,0.833333333333333
"ENSG00000140157",0.00178338352767478,1,4,0,-0.573535097293974,1,1
"ENSG00000123358",3.02847630760425e-06,7.25788863342691e-05,8,1,-0.572852827169332,1,0.833333333333333
"ENSG00000173171",1.29328646944576e-07,5.04128125180311e-08,5,2,-0.57282488747092,1,1
"ENSG00000172927",0.00733175696995329,0.202643824519519,4,0,0.572787833003347,1,0.833333333333333
"ENSG00000170788",0.00228339540506894,1,6,0,0.571428572060783,0.833333333333333,0.5
"ENSG00000137497",0.0079997613140196,1,7,0,0.571424779820831,1,0.666666666666667
"ENSG00000165905",0.0356712177138843,1,7,0,-0.571424723306309,1,0.666666666666667
"ENSG00000144161",9.24891797433243e-05,0.152268861300221,5,0,-0.571032131899617,1,0.666666666666667
"ENSG00000148341",3.05757288110242e-12,1,6,0,-0.570698311006056,1,1
"ENSG00000204220",7.69877641306267e-14,1.48176475842046e-13,5,2,-0.569335244530399,1,1
"ENSG00000120533",2.91443664647346e-72,1,6,0,0.568965517082958,1,1
"ENSG00000175279",4.26543492815889e-08,0.739410687632749,7,0,0.568180735139478,1,1
"ENSG00000166164",3.11419411310159e-10,9.61956105378003e-06,6,1,-0.567040343161542,1,1
"ENSG00000107372",1.16600376070853e-12,6.3987823058905e-11,5,1,0.566286296629443,1,1
"ENSG00000166444",0.0030603432976408,1,3,0,0.565416858983672,0.666666666666667,0.666666666666667
"ENSG00000115464",0.000491948589685106,0.00970538999038835,5,1,-0.565155855824657,1,1
"ENSG00000225470",5.35136255162053e-11,1,6,0,0.564905483893165,1,0.833333333333333
"ENSG00000121413",5.48264087117202e-07,1,6,0,-0.564561320326025,1,0.5
"ENSG00000198363",4.03651838758591e-05,1,4,0,-0.564346643079599,1,1
"ENSG00000122299",0.00952869079167698,1,3,0,0.563988924058904,1,0.833333333333333
"ENSG00000141380",1.10117684069212e-07,1,8,0,0.563542195905944,1,0.5
"ENSG00000164930",1.05132198098667e-07,1,5,0,-0.562499590017585,1,0.833333333333333
"ENSG00000137177",0.00833092442170476,0.414383099802633,3,0,0.562326263570318,1,1
"ENSG00000164114",0.021464953517626,0,2,2,-0.559949503208775,1,0.833333333333333
"ENSG00000152556",5.19657468609623e-05,1,5,0,0.554963745949801,1,0.5
"ENSG00000096093",6.19016769569651e-22,0.000704335576000805,8,1,-0.554885176269876,1,1
"ENSG00000133706",1.92378136371952e-05,1,6,0,-0.553274218791621,1,1
"ENSG00000172830",0.00262848604772564,0.013737188889655,5,1,0.552761816204092,1,0.833333333333333
"ENSG00000160695",0.0170598310324015,0.0449048614294622,3,1,0.5527370422422,1,1
"ENSG00000235098",8.37463169177751e-11,1,8,0,-0.552403715870004,1,0.666666666666667
"ENSG00000185049",0.000454934046672333,0.00220868428674708,4,1,-0.552334074015178,1,1
"ENSG00000173226",8.56247341023808e-10,1,5,0,0.55190825664763,1,1
"ENSG00000186665",2.34913914157562e-07,1,6,0,0.551468096808041,1,0.5
"ENSG00000170364",0.00183630182955372,0.716182834867721,6,0,-0.551356745040358,1,0.833333333333333
"ENSG00000121289",0.00153648893669945,0.0036622979926609,3,1,-0.550163429133685,1,0.833333333333333
"ENSG00000130702",1.48766993211913e-12,1,8,0,0.549996739757299,1,0.833333333333333
"ENSG00000115540",4.90253717101328e-07,0.182057741530903,4,0,-0.549601538457337,1,1
"ENSG00000073578",6.93350782056776e-35,7.80168205700968e-05,5,1,-0.548737390309841,1,1
"ENSG00000165804",6.32192401811931e-06,1,5,0,0.548371483123543,1,1
"ENSG00000258752",1.36243091355116e-12,4.42435356401972e-12,3,1,-0.548093245205095,1,1
"ENSG00000179813",0.0130823281482447,0,2,2,0.547848022038567,1,1
"ENSG00000197249",0.0322407008494558,0.0454221967260803,3,1,0.546812977126239,1,0.833333333333333
"ENSG00000044115",1.44290906422592e-13,1.85779758019724e-06,6,1,0.545874235955853,1,1
"ENSG00000147813",3.2721048243575e-22,1,5,0,0.545049215410618,1,1
"ENSG00000181163",3.87225752355138e-11,5.36214271346817e-12,3,1,0.544811069311262,1,1
"ENSG00000119760",0.0216235242941424,0,2,2,0.544628979988924,1,0.833333333333333
"ENSG00000214253",7.8482939222099e-05,1,5,0,0.544457097777972,1,1
"ENSG00000100364",0.0079997613140196,1,3,0,0.544378514459917,0.833333333333333,0.833333333333333
"ENSG00000079974",3.42286411051909e-31,1,8,0,-0.543506594624322,1,1
"ENSG00000178951",2.87954723027468e-27,1,8,0,-0.541797685961185,1,1
"ENSG00000108963",0.000479619116970374,0.000912876332160171,4,1,0.54166653748631,1,1
