"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_adult_Infected-Basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000106355",0.0106281441163822,0.0211901818854169,5,1,-0.386458081683182,1,1
"ENSG00000067225",3.88499443920702e-114,1,5,0,-0.385496687326452,1,1
"ENSG00000119801",6.52714294719595e-08,1,7,0,-0.385117557456347,1,1
"ENSG00000172590",1.21819301039082e-07,1,8,0,0.384696064797777,1,0.666666666666667
"ENSG00000172785",9.99242134900081e-19,0.000445318250959581,9,1,-0.384615383385618,1,1
"ENSG00000155438",0.00114794835017456,0.00253834182940788,3,1,0.383836069544874,1,1
"ENSG00000017483",0.000743656158527651,1,6,0,0.383834317195406,1,0.833333333333333
"ENSG00000087302",3.65792763364699e-06,0.0131643455334993,3,1,-0.383370205042177,1,1
"ENSG00000157873",0.000171009760472917,0.0335177559891897,8,1,0.382437223225501,1,1
"ENSG00000147905",0.0277734367464277,1,5,0,0.382260048748199,1,0.833333333333333
"ENSG00000204954",0.0147543365501829,0.448153702781553,3,0,-0.381989977602301,1,0.833333333333333
"ENSG00000011009",3.86658398928932e-08,7.55450603897916e-06,5,1,0.381813675978372,1,1
"ENSG00000100429",0.00166991774435122,1,8,0,-0.381625505604074,1,0.833333333333333
"ENSG00000140526",0.000296188355407636,1,3,0,0.381583839924163,1,1
"ENSG00000013563",0.00275351025512349,1,3,0,0.380931973472723,1,1
"ENSG00000203780",6.51060761790833e-07,1,10,0,0.379727992960641,1,1
"ENSG00000185347",0.00329197743712628,1,7,0,-0.379487124368958,1,0.833333333333333
"ENSG00000146731",2.83904059444827e-09,0.0383592494260791,4,1,0.379372291258275,1,1
"ENSG00000163527",0.0243032178537862,0.871001723393842,4,0,-0.379238970728882,1,0.833333333333333
"ENSG00000182670",8.61450754165487e-07,2.68882272035903e-05,7,1,-0.378608049445875,1,1
"ENSG00000105519",1.68414628455032e-37,1.53249420439962e-17,7,1,-0.376944127106249,1,1
"ENSG00000129480",0.047349440916682,1,3,0,0.375995312729601,1,1
"ENSG00000188732",0.0300653996782661,1,5,0,-0.3759387224874,1,0.666666666666667
"ENSG00000171490",0.000277263614284521,0.195498687404132,3,0,-0.375919021275945,1,1
"ENSG00000119487",0.00477487191621593,0.976739026999793,5,0,0.37579665460566,0.833333333333333,0.833333333333333
"ENSG00000102125",0.0235289962969859,0.160451092068856,7,0,-0.375758292391296,1,0.833333333333333
"ENSG00000204859",4.24321976442402e-07,1,8,0,-0.375699919897442,1,0.5
"ENSG00000123358",0.00542716588397715,0.0730717198073082,8,0,-0.375390939821508,1,1
"ENSG00000134152",3.67911375560217e-08,0.193305649479082,5,0,-0.374999820419625,1,1
"ENSG00000126653",0.00224038825152398,1,6,0,0.37453890574631,1,1
