"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000133678",0.00529281954102401,0.21930526069642,6,0,0.217951400881096,1,0.833333333333333
"ENSG00000158201",1.31249310200503e-05,0.321670170828756,6,0,-0.217742035599816,1,1
"ENSG00000141232",2.29458963900969e-10,0,2,2,0.217191439206614,1,1
"ENSG00000042317",0.00378446933393051,1,6,0,-0.217190820810034,1,1
"ENSG00000140688",0.045996723289407,1,3,0,-0.217078726695973,1,1
"ENSG00000112419",0.00465072525415491,0.0238028114276629,4,1,0.21692269604361,1,1
"ENSG00000012822",0.000136852068309228,0.0259046215282058,5,1,-0.216603673266687,1,1
"ENSG00000173598",4.03165197133501e-29,0.0468318452058051,4,1,-0.216582623791499,1,1
"ENSG00000085117",1.48807972624343e-08,0,2,2,-0.216217553656214,1,1
"ENSG00000166979",2.09272248272915e-09,1,7,0,0.215715352577505,1,1
"ENSG00000120805",1.89363448780861e-05,0.00103402132888264,3,1,0.215569314794481,1,1
"ENSG00000172590",2.54599985939231e-05,0.0251970732210838,9,1,0.215524919923773,1,1
"ENSG00000173272",3.20604693301137e-31,2.01301490055297e-12,4,1,-0.215172188349095,1,1
"ENSG00000120910",0.00197620118916931,0.501596070660529,4,0,0.214980934858714,1,1
"ENSG00000145782",0.0299027597456067,0.10809788272852,6,0,-0.214614763416776,1,1
"ENSG00000104763",4.06154384851802e-38,1,5,0,-0.21447453651355,1,1
"ENSG00000037474",7.34345013729577e-05,0.696178222537608,4,0,-0.214332237895482,1,1
"ENSG00000206053",6.52855570146754e-05,1,4,0,-0.214287770813908,1,1
"ENSG00000104852",3.19031166905938e-15,5.89563361944015e-07,4,1,0.213654646361721,1,1
"ENSG00000183346",0.000979103929260567,0.000807754761085543,5,1,0.213466568554645,1,1
"ENSG00000184277",0.0364639439136608,0,2,2,-0.213353120533095,1,1
"ENSG00000110696",9.06976713510585e-06,1.00715483146165e-06,3,2,-0.213245775458184,1,1
"ENSG00000269858",8.23487278237957e-07,2.56318363633895e-05,5,1,0.211857492266737,1,1
"ENSG00000115504",9.06486234396565e-05,0.166047962349249,6,0,-0.211847834915755,1,1
"ENSG00000176623",4.60395555006278e-10,1,7,0,0.211718854505201,1,1
"ENSG00000109321",0.00856060618562192,0,2,2,-0.211638480039944,1,1
"ENSG00000091073",6.82137439861562e-27,1,12,0,-0.211631196406927,1,1
"ENSG00000143537",7.44048654968169e-12,1,9,0,0.211539175045522,1,1
"ENSG00000170638",0.0464856273615735,0.315618966282494,7,0,0.211369767718775,1,1
"ENSG00000105281",4.70124766571719e-14,3.58386172140148e-05,4,1,0.211124129551609,1,1
"ENSG00000131236",7.71241847445545e-38,1,8,0,0.210938421021346,1,1
"ENSG00000164105",1.21505350538486e-05,0.283727911085614,3,0,0.210919810553275,1,1
"ENSG00000164405",3.80733634597042e-16,0,2,2,0.210867447037006,1,1
"ENSG00000160201",0.000670210167096909,0,2,2,-0.210338732245122,1,1
"ENSG00000127314",1.32520123845843e-24,1,3,0,0.209658920170237,1,1
"ENSG00000186468",0.00394773812954204,0.000369345278046866,4,2,0.209650081896345,1,1
"ENSG00000109466",0.00582440602906293,1,5,0,-0.208754788876796,1,1
"ENSG00000073605",0.0402742625443752,1,6,0,-0.207547808509496,1,1
"ENSG00000243989",0.000323405908252067,0.0275216970154449,3,1,-0.207222061263409,1,1
"ENSG00000182952",0.00049078006030029,0.538764217801661,3,0,0.207139702600764,1,1
"ENSG00000170633",0.0164297564461973,0.410643900179125,4,0,-0.207131054064724,1,1
"ENSG00000136147",9.42688312334091e-06,0.0541206694657105,5,0,-0.207122202158509,1,1
