"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_uninfected_child_Uninfected-Cycling_basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000128309",0.00134074655713721,1,5,0,-0.222489134361618,1,1
"ENSG00000161203",5.83064357772281e-06,0.0641830434743228,4,0,-0.221775391700834,1,1
"ENSG00000163466",0.00371194367736881,0.00101667241663297,4,1,0.219245545337088,1,1
"ENSG00000165119",0.00155698360653633,1,8,0,-0.216840315172466,1,1
"ENSG00000198242",1.53669565517314e-06,1,4,0,0.216268256759138,1,1
"ENSG00000173272",0.0474682764575463,0.383671092011549,4,0,-0.216171630542532,1,1
"ENSG00000132507",0.019382980414297,1,4,0,-0.212566814228715,1,1
"ENSG00000165949",0.0315684972831054,1,5,0,0.21157455480456,1,1
"ENSG00000189403",1.71193882473642e-18,1,7,0,-0.210917286265895,1,1
"ENSG00000125445",0.00129348556403884,1,5,0,0.208394056095508,1,1
"ENSG00000139218",0.0309252747954747,1,8,0,0.20294210627409,1,1
"ENSG00000166920",0.00355787351487816,1,4,0,-0.202253403080851,1,1
"ENSG00000143320",2.07070165361326e-05,1,4,0,0.201625533418985,1,1
"ENSG00000139644",0.0228417534056047,1,7,0,0.200519988296188,1,1
"ENSG00000160752",2.57372195103924e-12,1,11,0,0.200000119494056,1,1
"ENSG00000111912",0.00301058890382944,1,7,0,0.199999999999429,1,1
"ENSG00000182853",0.0439242810379549,0.00958112580174726,3,1,0.19651504054479,1,1
"ENSG00000127184",4.93301949665483e-05,3.05761493043294e-06,3,2,0.190552685485395,1,1
"ENSG00000162496",1.27797000105247e-11,1,11,0,-0.188415486818769,1,1
"ENSG00000118705",0.0116837016728348,1,5,0,0.187760463171896,1,1
"ENSG00000169908",0.00212057222250168,0.299761993673432,3,0,0.183755962573817,1,1
"ENSG00000116209",1.57783967026077e-11,1,4,0,-0.183615885301353,1,1
"ENSG00000136810",4.17416946711547e-69,1,4,0,-0.181740529826116,1,1
"ENSG00000109180",0.00329752931107274,1,8,0,-0.18103955217809,1,1
"ENSG00000090621",0.0301978170554923,1,11,0,-0.177990561768504,1,1
"ENSG00000115875",0.00868805965924877,0.0278345840810181,6,1,0.177550567904533,1,1
"ENSG00000068697",0.000299918149126214,0.0044059653291534,3,1,-0.175145267102763,1,1
"ENSG00000102316",0.0267949242938756,1,9,0,-0.175131368221932,1,1
"ENSG00000166226",0.0191382112329101,1,3,0,-0.170445638040044,1,1
"ENSG00000171604",0.000640365794552245,1,9,0,0.165324920950808,1,1
"ENSG00000069849",0.0126674857935151,1,3,0,0.164930788123873,1,1
"ENSG00000105854",0.00648304004509397,1,9,0,0.163969821271632,1,1
"ENSG00000173457",0.010250037388496,1,3,0,-0.163290527854379,1,1
"ENSG00000198355",0.00935036237174214,1,6,0,0.160625907882048,1,1
"ENSG00000140319",0.00304516140553017,0,2,2,0.159996759105893,1,1
"ENSG00000183207",0.00604825943074644,1,6,0,-0.159477406934887,1,1
"ENSG00000116044",0.001606281738123,0.229668020780982,8,0,0.155101431109354,1,1
"ENSG00000127314",0.0228417534056047,1,7,0,0.153241898372918,1,1
"ENSG00000159352",0.0391632751529504,1,4,0,-0.152755889093908,1,1
"ENSG00000205581",0.00480995900013169,0.13096062839296,5,0,-0.150876166661994,1,1
"ENSG00000142765",1.59035245203312e-05,1,6,0,-0.149101640829518,1,1
"ENSG00000142864",0.0131832567417096,1,8,0,0.147657411796064,1,1
"ENSG00000272398",0.000579457329524718,1,4,0,-0.1472004577069,1,1
"ENSG00000143222",9.18904731862156e-11,1,4,0,0.141539668374053,1,1
"ENSG00000147123",0.0338673634640798,1,5,0,0.141094249798634,1,1
"ENSG00000163435",0.00442029120473766,0.197392119222147,5,0,-0.135244254476921,1,1
"ENSG00000067225",0.008207302272037,1,6,0,-0.132867894730217,1,1
"ENSG00000120129",0.033592502997955,1,4,0,-0.132703944422154,1,1
"ENSG00000110492",0.0474682764575463,1,6,0,-0.130899627203513,1,1
"ENSG00000104852",0.0453945975236005,1,6,0,0.130451145465135,1,1
"ENSG00000060138",0.00201613821558554,1,6,0,-0.129688100713545,1,1
"ENSG00000189143",8.54050068299589e-09,1,3,0,0.129223326902046,1,1
"ENSG00000147403",1.42583851781652e-08,1,7,0,-0.128811427226095,1,1
"ENSG00000177989",2.30330677510648e-06,1,20,0,-0.126475908745439,1,1
"ENSG00000143819",1.23533254068983e-06,1,4,0,0.123136086896132,1,1
"ENSG00000186081",0.00213843643456548,0,2,2,0.118833134354927,1,1
"ENSG00000165283",0.0203086686402969,1,4,0,-0.108466836949509,1,1
"ENSG00000075415",0.00182244999848237,1,3,0,-0.0988453931726735,1,1
"ENSG00000118523",0.046536152423119,1,5,0,-0.094191368313412,1,1
"ENSG00000205420",2.98231052908825e-12,1,3,0,0.0877186221636481,1,1
"ENSG00000160188",0.0403769116461063,1,4,0,0.0834799623329788,1,1
"ENSG00000106541",0.0101093025305595,1,3,0,-0.0765208033692449,1,1
"ENSG00000138326",0.0117772495796518,1,4,0,0.0708865703262532,1,1
"ENSG00000198643",0.0158576867939241,1,6,0,0.0680633405401704,1,1
"ENSG00000148180",0.000373493158793033,1,7,0,-0.0654966541979107,1,1
"ENSG00000143774",1.06684464154262e-05,1,5,0,-0.0590342331344375,1,1
"ENSG00000170421",4.14775387753741e-06,1,4,0,0.0588949604461277,1,1
"ENSG00000106211",0.0148329566419062,0,2,2,-0.0586848870939798,1,1
"ENSG00000057149",0.00528885325675127,0,2,2,0.0495139887931231,1,1
"ENSG00000128422",1.58390813702579e-06,1,3,0,-0.0433833140444145,1,1
"ENSG00000168028",1.52653197750228e-07,1,3,0,0.0429504677699638,1,1
"ENSG00000197353",0.00148390258535091,0,2,2,-0.0343940704790279,1,1
