"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_VIC01_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000103415",5.07434738623828e-06,0.115457708906232,5,0,0.462686562056013,1,1
"ENSG00000156256",0.0408341846753419,1,5,0,0.461536326002872,0.833333333333333,0.666666666666667
"ENSG00000141524",0.00338980353076359,0.587775776289917,4,0,0.460942829660397,1,0.666666666666667
"ENSG00000175324",2.31592749847505e-10,1,5,0,-0.451612166564611,1,1
"ENSG00000029363",0.00410043486854364,1,6,0,-0.449377661618009,1,1
"ENSG00000147894",0.0131845798543089,0.38626127935358,4,0,0.448049975288569,1,0.833333333333333
"ENSG00000047457",8.0700048892411e-05,1,7,0,-0.447831794006123,1,0.833333333333333
"ENSG00000138796",0.00182231161288166,0.00570494434007226,4,1,0.447744830319143,1,1
"ENSG00000173588",0.00132616576279065,1,6,0,-0.445992280087371,1,0.833333333333333
"ENSG00000143947",2.29811882678881e-67,0,2,2,0.444968406888762,1,1
"ENSG00000258752",5.43952917206161e-07,0.027595242176293,3,1,-0.441264229944719,1,1
"ENSG00000150773",3.62757882870633e-07,1,5,0,-0.437496744736369,1,0.833333333333333
"ENSG00000129534",0.0137899627029259,1,5,0,-0.435941358825153,1,0.666666666666667
"ENSG00000160113",1.70858652589471e-10,2.25991449391706e-07,4,2,-0.43544590274311,1,1
"ENSG00000141504",4.86141759216785e-05,0.303003605968803,4,0,-0.432742402142374,1,1
"ENSG00000196344",3.60617785585089e-09,0.19386420693853,5,0,-0.43234619251338,1,0.833333333333333
"ENSG00000068001",0.0184099761997614,1,4,0,0.431077241968657,1,1
"ENSG00000070756",4.25257115693237e-29,3.01888529697511e-10,5,1,0.43100348980784,1,1
"ENSG00000239467",0.0401296850650152,1,5,0,-0.430710587368817,1,0.666666666666667
"ENSG00000063854",1.91948646298911e-14,0.000760891454977331,4,1,-0.429629399794348,1,1
"ENSG00000162073",0.0453269662214898,1,3,0,0.428852605792781,1,0.833333333333333
"ENSG00000119950",0.00383590340664285,1,6,0,-0.428570475898371,1,1
"ENSG00000067182",0.00115364275848306,0.00155449351908895,3,2,0.428426108257728,1,1
"ENSG00000206199",0.0087579984050345,0.00976001816685137,4,1,-0.428262400985141,1,1
"ENSG00000184584",0.0176169417228169,0.00596926612103201,4,1,-0.427791704824323,1,1
"ENSG00000178104",0.0484285675611054,0,2,2,-0.427009238583243,1,1
"ENSG00000102897",0.0431677364718023,1,6,0,-0.426216296404548,1,0.666666666666667
"ENSG00000225470",3.11778168966149e-09,1,7,0,0.425774802004149,1,0.833333333333333
"ENSG00000150779",0.00224124977963037,1,3,0,0.424234695424529,1,0.833333333333333
"ENSG00000133318",2.65716594555885e-05,0.000455402292821443,4,1,-0.423704366975698,1,1
"ENSG00000139644",4.52821176851864e-11,6.10583933752805e-06,5,1,0.422529305140595,1,1
"ENSG00000183291",6.42935803747112e-05,0.036241751129794,4,1,-0.421052966602042,1,1
"ENSG00000072110",9.4012712045156e-07,1,5,0,-0.421052631575516,1,1
