"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_UK_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000172890",7.02372075671724e-06,1,4,0,-0.898692555580126,0.833333333333333,0.666666666666667
"ENSG00000161202",6.36678221919922e-06,0.0190245171381229,3,1,-0.895608870964636,1,0.666666666666667
"ENSG00000229809",2.30181580496599e-30,1,5,0,-0.894375343416204,1,0.833333333333333
"ENSG00000198130",9.98986996562377e-41,1,4,0,0.89233809755787,1,0.833333333333333
"ENSG00000052749",5.17035452958388e-05,1,4,0,-0.892165989246641,1,0.5
"ENSG00000172345",0.000834190214549022,1,3,0,0.889474303915683,1,0.5
"ENSG00000231925",2.32697634157353e-19,0.000178541875040132,6,3,-0.884846487689082,1,0.833333333333333
"ENSG00000111639",1.5981988091996e-194,1,5,0,0.878019168609225,1,1
"ENSG00000138162",1.01815916081031e-12,1,6,0,-0.875000869895358,1,0.666666666666667
"ENSG00000251562",1.98473892310219e-266,1,4,0,0.873305291565995,1,1
"ENSG00000162852",7.53483155409776e-09,0.345847055738585,3,0,-0.872034548699984,1,0.666666666666667
"ENSG00000164171",7.26122535128719e-05,1,3,0,0.870022425145225,1,0.5
"ENSG00000221829",0.000404830856366856,1,3,0,0.864675551338968,0.833333333333333,0.5
"ENSG00000134758",0.000649348146548408,1,3,0,0.863535346214236,0.666666666666667,0.333333333333333
"ENSG00000166508",8.92944756879237e-17,0.18195339808421,5,0,0.860722058319624,1,0.5
"ENSG00000152904",1.39810610284607e-32,1,5,0,0.851575829498713,1,0.833333333333333
"ENSG00000155957",8.69374170430012e-16,3.01167275145062e-09,5,3,0.850997744485733,0.833333333333333,0.666666666666667
"ENSG00000127328",7.14770360198108e-06,1.56143541095617e-06,5,1,-0.84973129373911,0.833333333333333,0.5
"ENSG00000130669",0.00099828808030793,1,3,0,0.846026580992492,1,0.5
"ENSG00000093000",0.000189412021527095,1,4,0,0.845717061703567,1,0.5
"ENSG00000154001",1.34463398135049e-22,0.000138418200811228,8,1,-0.842742587608582,1,0.833333333333333
"ENSG00000157150",6.31143293322808e-07,1,3,0,0.840644008172922,1,0.5
"ENSG00000101608",4.79446649509409e-68,3.35503689305091e-17,5,3,-0.838233209065011,1,1
"ENSG00000111605",2.07083737549902e-19,1,3,0,0.837992433822528,1,0.833333333333333
