"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_uninfected_child_Uninfected-Goblet_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000100726",0.00178053447201456,0.708236915457956,4,0,0.859537801797339,0.833333333333333,0.666666666666667
"ENSG00000137692",1.10417069934063e-14,1,5,0,0.851882340640782,0.833333333333333,0.666666666666667
"ENSG00000164904",1.34671062321449e-08,0.925620394319771,5,0,-0.845223844144328,0.833333333333333,0.5
"ENSG00000141759",0.000568395741922087,0.0189220924376149,3,1,-0.843137238799692,0.833333333333333,0.666666666666667
"ENSG00000231925",1.76170496156368e-10,1.22394544943446e-11,4,2,0.84155512382724,1,0.833333333333333
"ENSG00000169567",9.09203067688023e-17,1.48394417683153e-06,3,1,-0.840750208715427,0.833333333333333,0.833333333333333
"ENSG00000100575",2.27023549102861e-17,1.28914299572185e-16,4,1,-0.839997835981739,0.833333333333333,0.666666666666667
"ENSG00000100296",0.0013442267157162,1,4,0,0.838510581001722,0.833333333333333,0.5
"ENSG00000100201",4.27682633004527e-09,1,4,0,0.837316167661424,0.833333333333333,0.666666666666667
"ENSG00000156256",5.436420317203e-05,0.675584047652014,4,0,-0.836771384324988,0.833333333333333,0.5
"ENSG00000130826",1.77887815379649e-15,0.000411157150963417,3,1,0.834876480521865,1,0.833333333333333
"ENSG00000167272",6.18292325643267e-13,0.0819022048452449,4,0,0.831809806451697,1,0.666666666666667
"ENSG00000080824",4.84705879436039e-50,2.70500626858238e-15,3,1,0.831747857354892,1,1
"ENSG00000093010",4.20583470613144e-17,0.000213288391843546,6,1,0.830410530884059,1,0.833333333333333
"ENSG00000120256",4.68711019922265e-15,0.484973580841612,3,0,-0.829527394186542,0.833333333333333,0.833333333333333
"ENSG00000100568",8.49074747872217e-39,4.20957406177671e-07,4,1,-0.829142947874958,1,1
"ENSG00000085224",4.35844758433525e-06,1,4,0,-0.8285293621172,0.833333333333333,0.5
"ENSG00000118564",0.00627067395060841,1,4,0,-0.826635009997172,1,0.5
"ENSG00000117523",0.000100426436252279,9.76831667499692e-06,5,1,0.826219605351796,0.666666666666667,0.666666666666667
"ENSG00000184887",1.99606260422851e-05,1,4,0,-0.822710115976194,0.833333333333333,0.5
"ENSG00000174547",6.34224954193057e-28,6.3643842385975e-18,5,2,-0.821762976273482,1,1
"ENSG00000177082",2.87254584100631e-08,0.0766781843700916,5,0,0.817365314089083,1,0.666666666666667
"ENSG00000134574",1.55415736023654e-05,1.63741862390267e-06,4,1,0.81068588861255,1,0.833333333333333
