"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_UK_72hpi_adult_Infected-Cycling_basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000137692",1.0477313794608e-14,1,5,0,0.879891250459536,1,0.833333333333333
"ENSG00000205609",6.15802236032922e-18,1,4,0,0.875940999263172,1,0.833333333333333
"ENSG00000138107",0.00126123739354774,0.361076667831337,3,0,0.873139486769309,1,0.666666666666667
"ENSG00000077254",0.000350245564350638,0.226924944503503,3,0,0.86962085956536,1,0.666666666666667
"ENSG00000177570",0.000905731595945095,1,4,0,0.86840999335969,1,0.5
"ENSG00000198157",0.000564559972145788,1,3,0,-0.862156409844915,1,0.5
"ENSG00000169567",7.06340259285227e-21,1.34025555354115e-13,3,1,-0.85500491075864,1,0.833333333333333
"ENSG00000186665",0.000119851465555918,1,4,0,0.849470046534754,1,0.833333333333333
"ENSG00000129128",2.7958329618898e-06,1,3,0,0.845799050117155,0.833333333333333,0.5
"ENSG00000197728",3.92274754925436e-19,2.61012956216735e-21,3,3,0.844922388393463,1,1
"ENSG00000278558",4.73898118806255e-05,7.89334169043922e-06,3,1,0.844386281308204,1,0.666666666666667
"ENSG00000167522",0.002373185418685,1,4,0,-0.841761291247923,1,0.5
"ENSG00000129657",1.78532569430425e-10,1,5,0,0.839403789887392,1,0.666666666666667
"ENSG00000146733",2.77298103619581e-06,0.0213820434935885,5,1,-0.825759611290249,1,0.833333333333333
"ENSG00000172809",6.42571093484839e-19,7.26828060362734e-14,5,1,0.816661831072642,1,1
"ENSG00000129235",1.2464491552174e-19,6.49417307075016e-14,3,2,0.816531209242009,1,1
"ENSG00000184182",3.9932419856915e-05,1,4,0,0.814986291976843,1,0.666666666666667
"ENSG00000127554",0.0106006184428677,0.0284764914248121,3,1,0.813999917324616,0.833333333333333,0.666666666666667
"ENSG00000151665",4.83541839052115e-17,0.232884086386773,4,0,-0.811641315892267,1,1
"ENSG00000245910",1.7001514446871e-17,3.34545642872701e-16,3,1,0.811261715933008,1,1
"ENSG00000011028",0.0136333006110049,0.488273643885405,3,0,0.808759202569955,0.833333333333333,0.666666666666667
"ENSG00000100526",0.000197225313891259,1,5,0,0.80770290807248,0.833333333333333,0.5
"ENSG00000169490",6.61031205460259e-05,1,4,0,0.799890461386173,0.833333333333333,0.5
"ENSG00000257727",1.61116288583412e-37,1,6,0,-0.798318985423032,1,1
"ENSG00000198668",3.08849491419358e-41,1,5,0,0.795729731059068,1,0.666666666666667
"ENSG00000172845",0.000259851444161953,1,3,0,0.790623600226532,1,0.833333333333333
"ENSG00000150527",0.000157183522732933,1,5,0,0.788264892620523,1,0.666666666666667
"ENSG00000168310",2.87679023256752e-05,9.93024549112227e-06,3,1,-0.784852302640679,1,0.833333333333333
"ENSG00000134744",0.000365266020056856,1,4,0,0.7828957610693,1,0.5
"ENSG00000168936",0.000408113019972212,1,5,0,-0.782820903227779,1,0.833333333333333
"ENSG00000067167",3.02438916544913e-17,1,3,0,0.782555715866874,1,0.833333333333333
"ENSG00000106348",0.000387394371509481,0.661990964825364,3,0,-0.782298975119626,1,0.666666666666667
"ENSG00000178104",0.0121510112740668,0.0232727034930733,3,1,-0.781633403538302,0.833333333333333,0.666666666666667
"ENSG00000157349",9.95439587364521e-05,1,5,0,-0.781115415866309,0.833333333333333,0.5
"ENSG00000090776",2.43959143660302e-06,1,3,0,0.77937849071304,1,0.833333333333333
